,data_split,base_name,s3_path,stim_id,curriculum,condition,metadata
0,test,furniture,lax-drawing-furniture-all-000.png,lax-drawing-furniture-all-000,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
1,test,furniture,lax-drawing-furniture-all-001.png,lax-drawing-furniture-all-001,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
2,test,furniture,lax-drawing-furniture-all-002.png,lax-drawing-furniture-all-002,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
3,test,furniture,lax-drawing-furniture-all-003.png,lax-drawing-furniture-all-003,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
4,test,furniture,lax-drawing-furniture-all-004.png,lax-drawing-furniture-all-004,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
5,test,furniture,lax-drawing-furniture-all-005.png,lax-drawing-furniture-all-005,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
6,test,furniture,lax-drawing-furniture-all-006.png,lax-drawing-furniture-all-006,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
7,test,furniture,lax-drawing-furniture-all-007.png,lax-drawing-furniture-all-007,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
8,test,furniture,lax-drawing-furniture-all-008.png,lax-drawing-furniture-all-008,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
9,test,furniture,lax-drawing-furniture-all-009.png,lax-drawing-furniture-all-009,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
10,test,furniture,lax-drawing-furniture-all-010.png,lax-drawing-furniture-all-010,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
11,test,furniture,lax-drawing-furniture-all-011.png,lax-drawing-furniture-all-011,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
12,test,furniture,lax-drawing-furniture-all-012.png,lax-drawing-furniture-all-012,curriculum_0,condition_furniture,"{'name': 'furniture_all', 'timestamp': '2021-09-01T14-12-13-236974', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator furniture --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
