,data_split,base_name,s3_path,stim_id,curriculum,condition,metadata
0,test,nuts_bolts,lax-drawing-nuts-bolts-all-000.png,lax-drawing-nuts-bolts-all-000,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
1,test,nuts_bolts,lax-drawing-nuts-bolts-all-001.png,lax-drawing-nuts-bolts-all-001,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
2,test,nuts_bolts,lax-drawing-nuts-bolts-all-002.png,lax-drawing-nuts-bolts-all-002,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
3,test,nuts_bolts,lax-drawing-nuts-bolts-all-003.png,lax-drawing-nuts-bolts-all-003,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
4,test,nuts_bolts,lax-drawing-nuts-bolts-all-004.png,lax-drawing-nuts-bolts-all-004,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
5,test,nuts_bolts,lax-drawing-nuts-bolts-all-005.png,lax-drawing-nuts-bolts-all-005,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
6,test,nuts_bolts,lax-drawing-nuts-bolts-all-006.png,lax-drawing-nuts-bolts-all-006,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
7,test,nuts_bolts,lax-drawing-nuts-bolts-all-007.png,lax-drawing-nuts-bolts-all-007,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
8,test,nuts_bolts,lax-drawing-nuts-bolts-all-008.png,lax-drawing-nuts-bolts-all-008,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
9,test,nuts_bolts,lax-drawing-nuts-bolts-all-009.png,lax-drawing-nuts-bolts-all-009,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
10,test,nuts_bolts,lax-drawing-nuts-bolts-all-010.png,lax-drawing-nuts-bolts-all-010,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
11,test,nuts_bolts,lax-drawing-nuts-bolts-all-011.png,lax-drawing-nuts-bolts-all-011,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
12,test,nuts_bolts,lax-drawing-nuts-bolts-all-012.png,lax-drawing-nuts-bolts-all-012,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
13,test,nuts_bolts,lax-drawing-nuts-bolts-all-013.png,lax-drawing-nuts-bolts-all-013,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
14,test,nuts_bolts,lax-drawing-nuts-bolts-all-014.png,lax-drawing-nuts-bolts-all-014,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
15,test,nuts_bolts,lax-drawing-nuts-bolts-all-015.png,lax-drawing-nuts-bolts-all-015,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
16,test,nuts_bolts,lax-drawing-nuts-bolts-all-016.png,lax-drawing-nuts-bolts-all-016,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
17,test,nuts_bolts,lax-drawing-nuts-bolts-all-017.png,lax-drawing-nuts-bolts-all-017,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
18,test,nuts_bolts,lax-drawing-nuts-bolts-all-018.png,lax-drawing-nuts-bolts-all-018,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
19,test,nuts_bolts,lax-drawing-nuts-bolts-all-019.png,lax-drawing-nuts-bolts-all-019,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
20,test,nuts_bolts,lax-drawing-nuts-bolts-all-020.png,lax-drawing-nuts-bolts-all-020,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
21,test,nuts_bolts,lax-drawing-nuts-bolts-all-021.png,lax-drawing-nuts-bolts-all-021,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
22,test,nuts_bolts,lax-drawing-nuts-bolts-all-022.png,lax-drawing-nuts-bolts-all-022,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
23,test,nuts_bolts,lax-drawing-nuts-bolts-all-023.png,lax-drawing-nuts-bolts-all-023,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
24,test,nuts_bolts,lax-drawing-nuts-bolts-all-024.png,lax-drawing-nuts-bolts-all-024,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
25,test,nuts_bolts,lax-drawing-nuts-bolts-all-025.png,lax-drawing-nuts-bolts-all-025,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
26,test,nuts_bolts,lax-drawing-nuts-bolts-all-026.png,lax-drawing-nuts-bolts-all-026,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
27,test,nuts_bolts,lax-drawing-nuts-bolts-all-027.png,lax-drawing-nuts-bolts-all-027,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
28,test,nuts_bolts,lax-drawing-nuts-bolts-all-028.png,lax-drawing-nuts-bolts-all-028,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
29,test,nuts_bolts,lax-drawing-nuts-bolts-all-029.png,lax-drawing-nuts-bolts-all-029,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
30,test,nuts_bolts,lax-drawing-nuts-bolts-all-030.png,lax-drawing-nuts-bolts-all-030,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
31,test,nuts_bolts,lax-drawing-nuts-bolts-all-031.png,lax-drawing-nuts-bolts-all-031,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
32,test,nuts_bolts,lax-drawing-nuts-bolts-all-032.png,lax-drawing-nuts-bolts-all-032,curriculum_0,condition_nuts_bolts,"{'name': 'nuts_bolts_all', 'timestamp': '2021-08-30T15-24-13-115176', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator nuts_bolts --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
