,data_split,base_name,s3_path,stim_id,curriculum,condition,metadata
0,test,wheels,lax-drawing-wheels-all-000.png,lax-drawing-wheels-all-000,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
1,test,wheels,lax-drawing-wheels-all-001.png,lax-drawing-wheels-all-001,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
2,test,wheels,lax-drawing-wheels-all-002.png,lax-drawing-wheels-all-002,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
3,test,wheels,lax-drawing-wheels-all-003.png,lax-drawing-wheels-all-003,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
4,test,wheels,lax-drawing-wheels-all-004.png,lax-drawing-wheels-all-004,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
5,test,wheels,lax-drawing-wheels-all-005.png,lax-drawing-wheels-all-005,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
6,test,wheels,lax-drawing-wheels-all-006.png,lax-drawing-wheels-all-006,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
7,test,wheels,lax-drawing-wheels-all-007.png,lax-drawing-wheels-all-007,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
8,test,wheels,lax-drawing-wheels-all-008.png,lax-drawing-wheels-all-008,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
9,test,wheels,lax-drawing-wheels-all-009.png,lax-drawing-wheels-all-009,curriculum_0,condition_wheels,"{'name': 'wheels_all', 'timestamp': '2021-08-31T15-38-16-186755', 'generating_command': 'python generate_drawing_tasks.py --task_export_dir data --synthesis_export_dir None --renders_export_dir None --tasks_generator wheels --num_tasks_per_condition all --train_ratio 0.8 --no_synthesis_tasks False --no_render False'}"
