task_name,task_generator,dreamcoder_program,ground_truth_strokes,n_strokes,s3_stimuli
nuts_bolts_train_000,nuts_bolts_train,,"[[array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]]), array([[ 1.00000000e+00,  0.00000000e+00],
       [ 9.76620556e-01,  2.14970440e-01],
       [ 9.07575420e-01,  4.19889102e-01],
       [ 7.96093066e-01,  6.05174215e-01],
       [ 6.47386285e-01,  7.62162055e-01],
       [ 4.68408441e-01,  8.83512044e-01],
       [ 2.67528339e-01,  9.63549993e-01],
       [ 5.41389086e-02,  9.98533414e-01],
       [-1.61781997e-01,  9.86826523e-01],
       [-3.70138155e-01,  9.28976720e-01],
       [-5.61187065e-01,  8.27688998e-01],
       [-7.25995492e-01,  6.87699459e-01],
       [-8.56857176e-01,  5.15553857e-01],
       [-9.47653171e-01,  3.19301530e-01],
       [-9.94137957e-01,  1.08119018e-01],
       [-9.94137957e-01, -1.08119018e-01],
       [-9.47653171e-01, -3.19301530e-01],
       [-8.56857176e-01, -5.15553857e-01],
       [-7.25995492e-01, -6.87699459e-01],
       [-5.61187065e-01, -8.27688998e-01],
       [-3.70138155e-01, -9.28976720e-01],
       [-1.61781997e-01, -9.86826523e-01],
       [ 5.41389086e-02, -9.98533414e-01],
       [ 2.67528339e-01, -9.63549993e-01],
       [ 4.68408441e-01, -8.83512044e-01],
       [ 6.47386285e-01, -7.62162055e-01],
       [ 7.96093066e-01, -6.05174215e-01],
       [ 9.07575420e-01, -4.19889102e-01],
       [ 9.76620556e-01, -2.14970440e-01],
       [ 1.00000000e+00, -2.44929360e-16]])]]",2,lax-drawing-nuts-bolts-all-000.png
nuts_bolts_train_001,nuts_bolts_train,,"[[array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]]), array([[ 5.00000000e-01,  0.00000000e+00],
       [ 4.88310278e-01,  1.07485220e-01],
       [ 4.53787710e-01,  2.09944551e-01],
       [ 3.98046533e-01,  3.02587108e-01],
       [ 3.23693142e-01,  3.81081028e-01],
       [ 2.34204220e-01,  4.41756022e-01],
       [ 1.33764169e-01,  4.81774996e-01],
       [ 2.70694543e-02,  4.99266707e-01],
       [-8.08909983e-02,  4.93413261e-01],
       [-1.85069078e-01,  4.64488360e-01],
       [-2.80593533e-01,  4.13844499e-01],
       [-3.62997746e-01,  3.43849729e-01],
       [-4.28428588e-01,  2.57776929e-01],
       [-4.73826586e-01,  1.59650765e-01],
       [-4.97068979e-01,  5.40595092e-02],
       [-4.97068979e-01, -5.40595092e-02],
       [-4.73826586e-01, -1.59650765e-01],
       [-4.28428588e-01, -2.57776929e-01],
       [-3.62997746e-01, -3.43849729e-01],
       [-2.80593533e-01, -4.13844499e-01],
       [-1.85069078e-01, -4.64488360e-01],
       [-8.08909983e-02, -4.93413261e-01],
       [ 2.70694543e-02, -4.99266707e-01],
       [ 1.33764169e-01, -4.81774996e-01],
       [ 2.34204220e-01, -4.41756022e-01],
       [ 3.23693142e-01, -3.81081028e-01],
       [ 3.98046533e-01, -3.02587108e-01],
       [ 4.53787710e-01, -2.09944551e-01],
       [ 4.88310278e-01, -1.07485220e-01],
       [ 5.00000000e-01, -1.22464680e-16]])]]",2,lax-drawing-nuts-bolts-all-001.png
nuts_bolts_train_002,nuts_bolts_train,,"[[array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]]), array([[-0.5      ,  0.8660254],
       [ 0.5      ,  0.8660254]]), array([[-1.00000000e+00,  2.07170437e-16],
       [-5.00000000e-01,  8.66025404e-01]]), array([[-5.00000000e-01, -8.66025404e-01],
       [-1.00000000e+00,  2.07170437e-16]]), array([[ 0.5      , -0.8660254],
       [-0.5      , -0.8660254]]), array([[ 1.00000000e+00, -5.95748495e-16],
       [ 5.00000000e-01, -8.66025404e-01]]), array([[ 5.00000000e-01,  8.66025404e-01],
       [ 1.00000000e+00, -5.95748495e-16]])]]",7,lax-drawing-nuts-bolts-all-002.png
nuts_bolts_train_003,nuts_bolts_train,,"[[array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]]), array([[-0.25     ,  0.4330127],
       [ 0.25     ,  0.4330127]]), array([[-5.00000000e-01,  1.03585218e-16],
       [-2.50000000e-01,  4.33012702e-01]]), array([[-2.50000000e-01, -4.33012702e-01],
       [-5.00000000e-01,  1.03585218e-16]]), array([[ 0.25     , -0.4330127],
       [-0.25     , -0.4330127]]), array([[ 5.00000000e-01, -2.97874248e-16],
       [ 2.50000000e-01, -4.33012702e-01]]), array([[ 2.50000000e-01,  4.33012702e-01],
       [ 5.00000000e-01, -2.97874248e-16]])]]",7,lax-drawing-nuts-bolts-all-003.png
nuts_bolts_train_004,nuts_bolts_train,,"[[array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]]), array([[-0.5, -0.5],
       [ 0.5, -0.5],
       [ 0.5,  0.5],
       [-0.5,  0.5],
       [-0.5, -0.5]])]]",2,lax-drawing-nuts-bolts-all-004.png
nuts_bolts_train_005,nuts_bolts_train,,"[[array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]]), array([[-0.25, -0.25],
       [ 0.25, -0.25],
       [ 0.25,  0.25],
       [-0.25,  0.25],
       [-0.25, -0.25]])]]",2,lax-drawing-nuts-bolts-all-005.png
nuts_bolts_train_006,nuts_bolts_train,,"[[array([[ 4.00000000e+00,  0.00000000e+00],
       [ 3.90648222e+00,  8.59881761e-01],
       [ 3.63030168e+00,  1.67955641e+00],
       [ 3.18437226e+00,  2.42069686e+00],
       [ 2.58954514e+00,  3.04864822e+00],
       [ 1.87363376e+00,  3.53404818e+00],
       [ 1.07011335e+00,  3.85419997e+00],
       [ 2.16555634e-01,  3.99413366e+00],
       [-6.47127986e-01,  3.94730609e+00],
       [-1.48055262e+00,  3.71590688e+00],
       [-2.24474826e+00,  3.31075599e+00],
       [-2.90398197e+00,  2.75079784e+00],
       [-3.42742870e+00,  2.06221543e+00],
       [-3.79061268e+00,  1.27720612e+00],
       [-3.97655183e+00,  4.32476074e-01],
       [-3.97655183e+00, -4.32476074e-01],
       [-3.79061268e+00, -1.27720612e+00],
       [-3.42742870e+00, -2.06221543e+00],
       [-2.90398197e+00, -2.75079784e+00],
       [-2.24474826e+00, -3.31075599e+00],
       [-1.48055262e+00, -3.71590688e+00],
       [-6.47127986e-01, -3.94730609e+00],
       [ 2.16555634e-01, -3.99413366e+00],
       [ 1.07011335e+00, -3.85419997e+00],
       [ 1.87363376e+00, -3.53404818e+00],
       [ 2.58954514e+00, -3.04864822e+00],
       [ 3.18437226e+00, -2.42069686e+00],
       [ 3.63030168e+00, -1.67955641e+00],
       [ 3.90648222e+00, -8.59881761e-01],
       [ 4.00000000e+00, -9.79717439e-16]]), array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]])]]",2,lax-drawing-nuts-bolts-all-006.png
nuts_bolts_train_007,nuts_bolts_train,,"[[array([[ 4.00000000e+00,  0.00000000e+00],
       [ 3.90648222e+00,  8.59881761e-01],
       [ 3.63030168e+00,  1.67955641e+00],
       [ 3.18437226e+00,  2.42069686e+00],
       [ 2.58954514e+00,  3.04864822e+00],
       [ 1.87363376e+00,  3.53404818e+00],
       [ 1.07011335e+00,  3.85419997e+00],
       [ 2.16555634e-01,  3.99413366e+00],
       [-6.47127986e-01,  3.94730609e+00],
       [-1.48055262e+00,  3.71590688e+00],
       [-2.24474826e+00,  3.31075599e+00],
       [-2.90398197e+00,  2.75079784e+00],
       [-3.42742870e+00,  2.06221543e+00],
       [-3.79061268e+00,  1.27720612e+00],
       [-3.97655183e+00,  4.32476074e-01],
       [-3.97655183e+00, -4.32476074e-01],
       [-3.79061268e+00, -1.27720612e+00],
       [-3.42742870e+00, -2.06221543e+00],
       [-2.90398197e+00, -2.75079784e+00],
       [-2.24474826e+00, -3.31075599e+00],
       [-1.48055262e+00, -3.71590688e+00],
       [-6.47127986e-01, -3.94730609e+00],
       [ 2.16555634e-01, -3.99413366e+00],
       [ 1.07011335e+00, -3.85419997e+00],
       [ 1.87363376e+00, -3.53404818e+00],
       [ 2.58954514e+00, -3.04864822e+00],
       [ 3.18437226e+00, -2.42069686e+00],
       [ 3.63030168e+00, -1.67955641e+00],
       [ 3.90648222e+00, -8.59881761e-01],
       [ 4.00000000e+00, -9.79717439e-16]]), array([[ 1.00000000e+00,  0.00000000e+00],
       [ 9.76620556e-01,  2.14970440e-01],
       [ 9.07575420e-01,  4.19889102e-01],
       [ 7.96093066e-01,  6.05174215e-01],
       [ 6.47386285e-01,  7.62162055e-01],
       [ 4.68408441e-01,  8.83512044e-01],
       [ 2.67528339e-01,  9.63549993e-01],
       [ 5.41389086e-02,  9.98533414e-01],
       [-1.61781997e-01,  9.86826523e-01],
       [-3.70138155e-01,  9.28976720e-01],
       [-5.61187065e-01,  8.27688998e-01],
       [-7.25995492e-01,  6.87699459e-01],
       [-8.56857176e-01,  5.15553857e-01],
       [-9.47653171e-01,  3.19301530e-01],
       [-9.94137957e-01,  1.08119018e-01],
       [-9.94137957e-01, -1.08119018e-01],
       [-9.47653171e-01, -3.19301530e-01],
       [-8.56857176e-01, -5.15553857e-01],
       [-7.25995492e-01, -6.87699459e-01],
       [-5.61187065e-01, -8.27688998e-01],
       [-3.70138155e-01, -9.28976720e-01],
       [-1.61781997e-01, -9.86826523e-01],
       [ 5.41389086e-02, -9.98533414e-01],
       [ 2.67528339e-01, -9.63549993e-01],
       [ 4.68408441e-01, -8.83512044e-01],
       [ 6.47386285e-01, -7.62162055e-01],
       [ 7.96093066e-01, -6.05174215e-01],
       [ 9.07575420e-01, -4.19889102e-01],
       [ 9.76620556e-01, -2.14970440e-01],
       [ 1.00000000e+00, -2.44929360e-16]])]]",2,lax-drawing-nuts-bolts-all-007.png
nuts_bolts_train_008,nuts_bolts_train,,"[[array([[ 4.00000000e+00,  0.00000000e+00],
       [ 3.90648222e+00,  8.59881761e-01],
       [ 3.63030168e+00,  1.67955641e+00],
       [ 3.18437226e+00,  2.42069686e+00],
       [ 2.58954514e+00,  3.04864822e+00],
       [ 1.87363376e+00,  3.53404818e+00],
       [ 1.07011335e+00,  3.85419997e+00],
       [ 2.16555634e-01,  3.99413366e+00],
       [-6.47127986e-01,  3.94730609e+00],
       [-1.48055262e+00,  3.71590688e+00],
       [-2.24474826e+00,  3.31075599e+00],
       [-2.90398197e+00,  2.75079784e+00],
       [-3.42742870e+00,  2.06221543e+00],
       [-3.79061268e+00,  1.27720612e+00],
       [-3.97655183e+00,  4.32476074e-01],
       [-3.97655183e+00, -4.32476074e-01],
       [-3.79061268e+00, -1.27720612e+00],
       [-3.42742870e+00, -2.06221543e+00],
       [-2.90398197e+00, -2.75079784e+00],
       [-2.24474826e+00, -3.31075599e+00],
       [-1.48055262e+00, -3.71590688e+00],
       [-6.47127986e-01, -3.94730609e+00],
       [ 2.16555634e-01, -3.99413366e+00],
       [ 1.07011335e+00, -3.85419997e+00],
       [ 1.87363376e+00, -3.53404818e+00],
       [ 2.58954514e+00, -3.04864822e+00],
       [ 3.18437226e+00, -2.42069686e+00],
       [ 3.63030168e+00, -1.67955641e+00],
       [ 3.90648222e+00, -8.59881761e-01],
       [ 4.00000000e+00, -9.79717439e-16]]), array([[-1.        ,  1.73205081],
       [ 1.        ,  1.73205081]]), array([[-2.00000000e+00,  4.14340874e-16],
       [-1.00000000e+00,  1.73205081e+00]]), array([[-1.00000000e+00, -1.73205081e+00],
       [-2.00000000e+00,  4.14340874e-16]]), array([[ 1.        , -1.73205081],
       [-1.        , -1.73205081]]), array([[ 2.00000000e+00, -1.19149699e-15],
       [ 1.00000000e+00, -1.73205081e+00]]), array([[ 1.00000000e+00,  1.73205081e+00],
       [ 2.00000000e+00, -1.19149699e-15]])]]",7,lax-drawing-nuts-bolts-all-008.png
nuts_bolts_train_009,nuts_bolts_train,,"[[array([[ 4.00000000e+00,  0.00000000e+00],
       [ 3.90648222e+00,  8.59881761e-01],
       [ 3.63030168e+00,  1.67955641e+00],
       [ 3.18437226e+00,  2.42069686e+00],
       [ 2.58954514e+00,  3.04864822e+00],
       [ 1.87363376e+00,  3.53404818e+00],
       [ 1.07011335e+00,  3.85419997e+00],
       [ 2.16555634e-01,  3.99413366e+00],
       [-6.47127986e-01,  3.94730609e+00],
       [-1.48055262e+00,  3.71590688e+00],
       [-2.24474826e+00,  3.31075599e+00],
       [-2.90398197e+00,  2.75079784e+00],
       [-3.42742870e+00,  2.06221543e+00],
       [-3.79061268e+00,  1.27720612e+00],
       [-3.97655183e+00,  4.32476074e-01],
       [-3.97655183e+00, -4.32476074e-01],
       [-3.79061268e+00, -1.27720612e+00],
       [-3.42742870e+00, -2.06221543e+00],
       [-2.90398197e+00, -2.75079784e+00],
       [-2.24474826e+00, -3.31075599e+00],
       [-1.48055262e+00, -3.71590688e+00],
       [-6.47127986e-01, -3.94730609e+00],
       [ 2.16555634e-01, -3.99413366e+00],
       [ 1.07011335e+00, -3.85419997e+00],
       [ 1.87363376e+00, -3.53404818e+00],
       [ 2.58954514e+00, -3.04864822e+00],
       [ 3.18437226e+00, -2.42069686e+00],
       [ 3.63030168e+00, -1.67955641e+00],
       [ 3.90648222e+00, -8.59881761e-01],
       [ 4.00000000e+00, -9.79717439e-16]]), array([[-0.5      ,  0.8660254],
       [ 0.5      ,  0.8660254]]), array([[-1.00000000e+00,  2.07170437e-16],
       [-5.00000000e-01,  8.66025404e-01]]), array([[-5.00000000e-01, -8.66025404e-01],
       [-1.00000000e+00,  2.07170437e-16]]), array([[ 0.5      , -0.8660254],
       [-0.5      , -0.8660254]]), array([[ 1.00000000e+00, -5.95748495e-16],
       [ 5.00000000e-01, -8.66025404e-01]]), array([[ 5.00000000e-01,  8.66025404e-01],
       [ 1.00000000e+00, -5.95748495e-16]])]]",7,lax-drawing-nuts-bolts-all-009.png
