task_name,task_generator,dreamcoder_program_dsl_0,dreamcoder_program_dsl_0_tokens,ground_truth_strokes,n_strokes,s3_stimuli
nuts_bolts_000,nuts_bolts_programs_test,(C (C (T (T c (M 2 0 0 0)) (M 4 0 0 0)) (T (T c (M 2 0 0 0)) (M 4.25 0 0 0))) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2 0 0 0))),"['C', 'C', 'T', 'T', 'c', 'M', '2', '0', '0', '0', 'M', '4', '0', '0', '0', 'T', 'T', 'c', 'M', '2', '0', '0', '0', 'M', '4.25', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2', '0', '0', '0']","[[array([[ 4.00000000e+00,  0.00000000e+00],
       [ 3.90648222e+00,  8.59881761e-01],
       [ 3.63030168e+00,  1.67955641e+00],
       [ 3.18437226e+00,  2.42069686e+00],
       [ 2.58954514e+00,  3.04864822e+00],
       [ 1.87363376e+00,  3.53404818e+00],
       [ 1.07011335e+00,  3.85419997e+00],
       [ 2.16555634e-01,  3.99413366e+00],
       [-6.47127986e-01,  3.94730609e+00],
       [-1.48055262e+00,  3.71590688e+00],
       [-2.24474826e+00,  3.31075599e+00],
       [-2.90398197e+00,  2.75079784e+00],
       [-3.42742870e+00,  2.06221543e+00],
       [-3.79061268e+00,  1.27720612e+00],
       [-3.97655183e+00,  4.32476074e-01],
       [-3.97655183e+00, -4.32476074e-01],
       [-3.79061268e+00, -1.27720612e+00],
       [-3.42742870e+00, -2.06221543e+00],
       [-2.90398197e+00, -2.75079784e+00],
       [-2.24474826e+00, -3.31075599e+00],
       [-1.48055262e+00, -3.71590688e+00],
       [-6.47127986e-01, -3.94730609e+00],
       [ 2.16555634e-01, -3.99413366e+00],
       [ 1.07011335e+00, -3.85419997e+00],
       [ 1.87363376e+00, -3.53404818e+00],
       [ 2.58954514e+00, -3.04864822e+00],
       [ 3.18437226e+00, -2.42069686e+00],
       [ 3.63030168e+00, -1.67955641e+00],
       [ 3.90648222e+00, -8.59881761e-01],
       [ 4.00000000e+00, -9.79717439e-16]]), array([[ 4.25000000e+00,  0.00000000e+00],
       [ 4.15063736e+00,  9.13624371e-01],
       [ 3.85719553e+00,  1.78452868e+00],
       [ 3.38339553e+00,  2.57199041e+00],
       [ 2.75139171e+00,  3.23918873e+00],
       [ 1.99073587e+00,  3.75492619e+00],
       [ 1.13699544e+00,  4.09508747e+00],
       [ 2.30090361e-01,  4.24376701e+00],
       [-6.87573485e-01,  4.19401272e+00],
       [-1.57308716e+00,  3.94815106e+00],
       [-2.38504503e+00,  3.51767824e+00],
       [-3.08548084e+00,  2.92272270e+00],
       [-3.64164300e+00,  2.19110389e+00],
       [-4.02752598e+00,  1.35703150e+00],
       [-4.22508632e+00,  4.59505828e-01],
       [-4.22508632e+00, -4.59505828e-01],
       [-4.02752598e+00, -1.35703150e+00],
       [-3.64164300e+00, -2.19110389e+00],
       [-3.08548084e+00, -2.92272270e+00],
       [-2.38504503e+00, -3.51767824e+00],
       [-1.57308716e+00, -3.94815106e+00],
       [-6.87573485e-01, -4.19401272e+00],
       [ 2.30090361e-01, -4.24376701e+00],
       [ 1.13699544e+00, -4.09508747e+00],
       [ 1.99073587e+00, -3.75492619e+00],
       [ 2.75139171e+00, -3.23918873e+00],
       [ 3.38339553e+00, -2.57199041e+00],
       [ 3.85719553e+00, -1.78452868e+00],
       [ 4.15063736e+00, -9.13624371e-01],
       [ 4.25000000e+00, -1.04094978e-15]]), array([[-1.        ,  1.73311307],
       [ 1.        ,  1.73311307]]), array([[-2.00091938e+00,  1.59338605e-03],
       [-1.00000000e+00,  1.73311307e+00]]), array([[-1.00275898e+00, -1.73151821e+00],
       [-2.00091938e+00,  1.59338605e-03]]), array([[ 0.99723848, -1.73470352],
       [-1.00275898, -1.73151821]]), array([[ 2.0009143 , -0.00478015],
       [ 0.99723848, -1.73470352]]), array([[ 1.00551542,  1.72991897],
       [ 2.0009143 , -0.00478015]])]]",8,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-000.png
nuts_bolts_001,nuts_bolts_programs_test,(C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2 0 0 0)) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 1 0 0 0))),"['C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '1', '0', '0', '0']","[[array([[-1.        ,  1.73311307],
       [ 1.        ,  1.73311307]]), array([[-2.00091938e+00,  1.59338605e-03],
       [-1.00000000e+00,  1.73311307e+00]]), array([[-1.00275898e+00, -1.73151821e+00],
       [-2.00091938e+00,  1.59338605e-03]]), array([[ 0.99723848, -1.73470352],
       [-1.00275898, -1.73151821]]), array([[ 2.0009143 , -0.00478015],
       [ 0.99723848, -1.73470352]]), array([[ 1.00551542,  1.72991897],
       [ 2.0009143 , -0.00478015]]), array([[-0.5       ,  0.86655653],
       [ 0.5       ,  0.86655653]]), array([[-1.00045969e+00,  7.96693026e-04],
       [-5.00000000e-01,  8.66556533e-01]]), array([[-5.01379490e-01, -8.65759107e-01],
       [-1.00045969e+00,  7.96693026e-04]]), array([[ 0.49861924, -0.86735176],
       [-0.50137949, -0.86575911]]), array([[ 1.00045715, -0.00239008],
       [ 0.49861924, -0.86735176]]), array([[ 0.50275771,  0.86495949],
       [ 1.00045715, -0.00239008]])]]",12,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-001.png
nuts_bolts_002,nuts_bolts_programs_test,(C (C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2 0 0 0)) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2.25 0 0 0))) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 1 0 0 0))),"['C', 'C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2.25', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '1', '0', '0', '0']","[[array([[-1.        ,  1.73311307],
       [ 1.        ,  1.73311307]]), array([[-2.00091938e+00,  1.59338605e-03],
       [-1.00000000e+00,  1.73311307e+00]]), array([[-1.00275898e+00, -1.73151821e+00],
       [-2.00091938e+00,  1.59338605e-03]]), array([[ 0.99723848, -1.73470352],
       [-1.00275898, -1.73151821]]), array([[ 2.0009143 , -0.00478015],
       [ 0.99723848, -1.73470352]]), array([[ 1.00551542,  1.72991897],
       [ 2.0009143 , -0.00478015]]), array([[-1.125    ,  1.9497522],
       [ 1.125    ,  1.9497522]]), array([[-2.25103430e+00,  1.79255931e-03],
       [-1.12500000e+00,  1.94975220e+00]]), array([[-1.12810385e+00, -1.94795799e+00],
       [-2.25103430e+00,  1.79255931e-03]]), array([[ 1.12189329, -1.95154146],
       [-1.12810385, -1.94795799]]), array([[ 2.25102859, -0.00537767],
       [ 1.12189329, -1.95154146]]), array([[ 1.13120484,  1.94615884],
       [ 2.25102859, -0.00537767]]), array([[-0.5       ,  0.86655653],
       [ 0.5       ,  0.86655653]]), array([[-1.00045969e+00,  7.96693026e-04],
       [-5.00000000e-01,  8.66556533e-01]]), array([[-5.01379490e-01, -8.65759107e-01],
       [-1.00045969e+00,  7.96693026e-04]]), array([[ 0.49861924, -0.86735176],
       [-0.50137949, -0.86575911]]), array([[ 1.00045715, -0.00239008],
       [ 0.49861924, -0.86735176]]), array([[ 0.50275771,  0.86495949],
       [ 1.00045715, -0.00239008]])]]",18,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-002.png
nuts_bolts_003,nuts_bolts_programs_test,(C (C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2 0 0 0)) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2.25 0 0 0))) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 0.5 0 0 0))),"['C', 'C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2.25', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '0.5', '0', '0', '0']","[[array([[-1.        ,  1.73311307],
       [ 1.        ,  1.73311307]]), array([[-2.00091938e+00,  1.59338605e-03],
       [-1.00000000e+00,  1.73311307e+00]]), array([[-1.00275898e+00, -1.73151821e+00],
       [-2.00091938e+00,  1.59338605e-03]]), array([[ 0.99723848, -1.73470352],
       [-1.00275898, -1.73151821]]), array([[ 2.0009143 , -0.00478015],
       [ 0.99723848, -1.73470352]]), array([[ 1.00551542,  1.72991897],
       [ 2.0009143 , -0.00478015]]), array([[-1.125    ,  1.9497522],
       [ 1.125    ,  1.9497522]]), array([[-2.25103430e+00,  1.79255931e-03],
       [-1.12500000e+00,  1.94975220e+00]]), array([[-1.12810385e+00, -1.94795799e+00],
       [-2.25103430e+00,  1.79255931e-03]]), array([[ 1.12189329, -1.95154146],
       [-1.12810385, -1.94795799]]), array([[ 2.25102859, -0.00537767],
       [ 1.12189329, -1.95154146]]), array([[ 1.13120484,  1.94615884],
       [ 2.25102859, -0.00537767]]), array([[-0.25      ,  0.43327827],
       [ 0.25      ,  0.43327827]]), array([[-5.00229845e-01,  3.98346513e-04],
       [-2.50000000e-01,  4.33278266e-01]]), array([[-2.50689745e-01, -4.32879554e-01],
       [-5.00229845e-01,  3.98346513e-04]]), array([[ 0.24930962, -0.43367588],
       [-0.25068974, -0.43287955]]), array([[ 0.50022858, -0.00119504],
       [ 0.24930962, -0.43367588]]), array([[ 0.25137885,  0.43247974],
       [ 0.50022858, -0.00119504]])]]",18,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-003.png
nuts_bolts_004,nuts_bolts_programs_test,(C (C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 4 0 0 0)) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 4.25 0 0 0))) (T (T c (M 2 0 0 0)) (M 2 0 0 0))),"['C', 'C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '4', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '4.25', '0', '0', '0', 'T', 'T', 'c', 'M', '2', '0', '0', '0', 'M', '2', '0', '0', '0']","[[array([[-2.        ,  3.46622613],
       [ 2.        ,  3.46622613]]), array([[-4.00183876e+00,  3.18677210e-03],
       [-2.00000000e+00,  3.46622613e+00]]), array([[-2.00551796e+00, -3.46303643e+00],
       [-4.00183876e+00,  3.18677210e-03]]), array([[ 1.99447697, -3.46940704],
       [-2.00551796, -3.46303643]]), array([[ 4.00182861, -0.00956031],
       [ 1.99447697, -3.46940704]]), array([[ 2.01103083,  3.45983794],
       [ 4.00182861, -0.00956031]]), array([[-2.125     ,  3.68286526],
       [ 2.125     ,  3.68286526]]), array([[-4.25195368e+00,  3.38594536e-03],
       [-2.12500000e+00,  3.68286526e+00]]), array([[-2.13086283e+00, -3.67947620e+00],
       [-4.25195368e+00,  3.38594536e-03]]), array([[ 2.11913178, -3.68624498],
       [-2.13086283, -3.6794762 ]]), array([[ 4.25194289, -0.01015783],
       [ 2.11913178, -3.68624498]]), array([[ 2.13672026,  3.67607781],
       [ 4.25194289, -0.01015783]]), array([[ 2.00000000e+00,  0.00000000e+00],
       [ 1.95324111e+00,  4.29940880e-01],
       [ 1.81515084e+00,  8.39778203e-01],
       [ 1.59218613e+00,  1.21034843e+00],
       [ 1.29477257e+00,  1.52432411e+00],
       [ 9.36816881e-01,  1.76702409e+00],
       [ 5.35056677e-01,  1.92709999e+00],
       [ 1.08277817e-01,  1.99706683e+00],
       [-3.23563993e-01,  1.97365305e+00],
       [-7.40276311e-01,  1.85795344e+00],
       [-1.12237413e+00,  1.65537800e+00],
       [-1.45199098e+00,  1.37539892e+00],
       [-1.71371435e+00,  1.03110771e+00],
       [-1.89530634e+00,  6.38603060e-01],
       [-1.98827591e+00,  2.16238037e-01],
       [-1.98827591e+00, -2.16238037e-01],
       [-1.89530634e+00, -6.38603060e-01],
       [-1.71371435e+00, -1.03110771e+00],
       [-1.45199098e+00, -1.37539892e+00],
       [-1.12237413e+00, -1.65537800e+00],
       [-7.40276311e-01, -1.85795344e+00],
       [-3.23563993e-01, -1.97365305e+00],
       [ 1.08277817e-01, -1.99706683e+00],
       [ 5.35056677e-01, -1.92709999e+00],
       [ 9.36816881e-01, -1.76702409e+00],
       [ 1.29477257e+00, -1.52432411e+00],
       [ 1.59218613e+00, -1.21034843e+00],
       [ 1.81515084e+00, -8.39778203e-01],
       [ 1.95324111e+00, -4.29940880e-01],
       [ 2.00000000e+00, -4.89858720e-16]])]]",13,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-004.png
nuts_bolts_005,nuts_bolts_programs_test,(C (C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 4 0 0 0)) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 4.25 0 0 0))) (T r (M 2 0 0 0))),"['C', 'C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '4', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '4.25', '0', '0', '0', 'T', 'r', 'M', '2', '0', '0', '0']","[[array([[-2.        ,  3.46622613],
       [ 2.        ,  3.46622613]]), array([[-4.00183876e+00,  3.18677210e-03],
       [-2.00000000e+00,  3.46622613e+00]]), array([[-2.00551796e+00, -3.46303643e+00],
       [-4.00183876e+00,  3.18677210e-03]]), array([[ 1.99447697, -3.46940704],
       [-2.00551796, -3.46303643]]), array([[ 4.00182861, -0.00956031],
       [ 1.99447697, -3.46940704]]), array([[ 2.01103083,  3.45983794],
       [ 4.00182861, -0.00956031]]), array([[-2.125     ,  3.68286526],
       [ 2.125     ,  3.68286526]]), array([[-4.25195368e+00,  3.38594536e-03],
       [-2.12500000e+00,  3.68286526e+00]]), array([[-2.13086283e+00, -3.67947620e+00],
       [-4.25195368e+00,  3.38594536e-03]]), array([[ 2.11913178, -3.68624498],
       [-2.13086283, -3.6794762 ]]), array([[ 4.25194289, -0.01015783],
       [ 2.11913178, -3.68624498]]), array([[ 2.13672026,  3.67607781],
       [ 4.25194289, -0.01015783]]), array([[-1., -1.],
       [ 1., -1.],
       [ 1.,  1.],
       [-1.,  1.],
       [-1., -1.]])]]",13,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-005.png
nuts_bolts_006,nuts_bolts_programs_test,(C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 8))))) 8 (M 1 (/ (* 2 pi) 8) 0 0)) (M 2 0 0 0)) (T (T c (M 2 0 0 0)) (M 1 0 0 0))),"['C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '8', '8', 'M', '1', '/', '*', '2', 'pi', '8', '0', '0', 'M', '2', '0', '0', '0', 'T', 'T', 'c', 'M', '2', '0', '0', '0', 'M', '1', '0', '0', '0']","[[array([[-1.        ,  2.41557363],
       [ 1.        ,  2.41557363]]), array([[-2.41477654,  1.00192327],
       [-1.        ,  2.41557363]]), array([[-2.41636919, -0.9980761 ],
       [-2.41477654,  1.00192327]]), array([[-1.0038459 , -2.41397791],
       [-2.41636919, -0.9980761 ]]), array([[ 0.99615156, -2.41716322],
       [-1.0038459 , -2.41397791]]), array([[ 2.41317776, -1.0057679 ],
       [ 0.99615156, -2.41716322]]), array([[ 2.41795572,  0.99422639],
       [ 2.41317776, -1.0057679 ]]), array([[1.00768926, 2.41237607],
       [2.41795572, 0.99422639]]), array([[ 1.00000000e+00,  0.00000000e+00],
       [ 9.76620556e-01,  2.14970440e-01],
       [ 9.07575420e-01,  4.19889102e-01],
       [ 7.96093066e-01,  6.05174215e-01],
       [ 6.47386285e-01,  7.62162055e-01],
       [ 4.68408441e-01,  8.83512044e-01],
       [ 2.67528339e-01,  9.63549993e-01],
       [ 5.41389086e-02,  9.98533414e-01],
       [-1.61781997e-01,  9.86826523e-01],
       [-3.70138155e-01,  9.28976720e-01],
       [-5.61187065e-01,  8.27688998e-01],
       [-7.25995492e-01,  6.87699459e-01],
       [-8.56857176e-01,  5.15553857e-01],
       [-9.47653171e-01,  3.19301530e-01],
       [-9.94137957e-01,  1.08119018e-01],
       [-9.94137957e-01, -1.08119018e-01],
       [-9.47653171e-01, -3.19301530e-01],
       [-8.56857176e-01, -5.15553857e-01],
       [-7.25995492e-01, -6.87699459e-01],
       [-5.61187065e-01, -8.27688998e-01],
       [-3.70138155e-01, -9.28976720e-01],
       [-1.61781997e-01, -9.86826523e-01],
       [ 5.41389086e-02, -9.98533414e-01],
       [ 2.67528339e-01, -9.63549993e-01],
       [ 4.68408441e-01, -8.83512044e-01],
       [ 6.47386285e-01, -7.62162055e-01],
       [ 7.96093066e-01, -6.05174215e-01],
       [ 9.07575420e-01, -4.19889102e-01],
       [ 9.76620556e-01, -2.14970440e-01],
       [ 1.00000000e+00, -2.44929360e-16]])]]",9,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-006.png
nuts_bolts_007,nuts_bolts_programs_test,(C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 8))))) 8 (M 1 (/ (* 2 pi) 8) 0 0)) (M 2 0 0 0)) (T (T c (M 2 0 0 0)) (M 0.5 0 0 0))),"['C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '8', '8', 'M', '1', '/', '*', '2', 'pi', '8', '0', '0', 'M', '2', '0', '0', '0', 'T', 'T', 'c', 'M', '2', '0', '0', '0', 'M', '0.5', '0', '0', '0']","[[array([[-1.        ,  2.41557363],
       [ 1.        ,  2.41557363]]), array([[-2.41477654,  1.00192327],
       [-1.        ,  2.41557363]]), array([[-2.41636919, -0.9980761 ],
       [-2.41477654,  1.00192327]]), array([[-1.0038459 , -2.41397791],
       [-2.41636919, -0.9980761 ]]), array([[ 0.99615156, -2.41716322],
       [-1.0038459 , -2.41397791]]), array([[ 2.41317776, -1.0057679 ],
       [ 0.99615156, -2.41716322]]), array([[ 2.41795572,  0.99422639],
       [ 2.41317776, -1.0057679 ]]), array([[1.00768926, 2.41237607],
       [2.41795572, 0.99422639]]), array([[ 5.00000000e-01,  0.00000000e+00],
       [ 4.88310278e-01,  1.07485220e-01],
       [ 4.53787710e-01,  2.09944551e-01],
       [ 3.98046533e-01,  3.02587108e-01],
       [ 3.23693142e-01,  3.81081028e-01],
       [ 2.34204220e-01,  4.41756022e-01],
       [ 1.33764169e-01,  4.81774996e-01],
       [ 2.70694543e-02,  4.99266707e-01],
       [-8.08909983e-02,  4.93413261e-01],
       [-1.85069078e-01,  4.64488360e-01],
       [-2.80593533e-01,  4.13844499e-01],
       [-3.62997746e-01,  3.43849729e-01],
       [-4.28428588e-01,  2.57776929e-01],
       [-4.73826586e-01,  1.59650765e-01],
       [-4.97068979e-01,  5.40595092e-02],
       [-4.97068979e-01, -5.40595092e-02],
       [-4.73826586e-01, -1.59650765e-01],
       [-4.28428588e-01, -2.57776929e-01],
       [-3.62997746e-01, -3.43849729e-01],
       [-2.80593533e-01, -4.13844499e-01],
       [-1.85069078e-01, -4.64488360e-01],
       [-8.08909983e-02, -4.93413261e-01],
       [ 2.70694543e-02, -4.99266707e-01],
       [ 1.33764169e-01, -4.81774996e-01],
       [ 2.34204220e-01, -4.41756022e-01],
       [ 3.23693142e-01, -3.81081028e-01],
       [ 3.98046533e-01, -3.02587108e-01],
       [ 4.53787710e-01, -2.09944551e-01],
       [ 4.88310278e-01, -1.07485220e-01],
       [ 5.00000000e-01, -1.22464680e-16]])]]",9,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-007.png
nuts_bolts_008,nuts_bolts_programs_test,(C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 8))))) 8 (M 1 (/ (* 2 pi) 8) 0 0)) (M 2 0 0 0)) (T r (M 0.5 0 0 0))),"['C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '8', '8', 'M', '1', '/', '*', '2', 'pi', '8', '0', '0', 'M', '2', '0', '0', '0', 'T', 'r', 'M', '0.5', '0', '0', '0']","[[array([[-1.        ,  2.41557363],
       [ 1.        ,  2.41557363]]), array([[-2.41477654,  1.00192327],
       [-1.        ,  2.41557363]]), array([[-2.41636919, -0.9980761 ],
       [-2.41477654,  1.00192327]]), array([[-1.0038459 , -2.41397791],
       [-2.41636919, -0.9980761 ]]), array([[ 0.99615156, -2.41716322],
       [-1.0038459 , -2.41397791]]), array([[ 2.41317776, -1.0057679 ],
       [ 0.99615156, -2.41716322]]), array([[ 2.41795572,  0.99422639],
       [ 2.41317776, -1.0057679 ]]), array([[1.00768926, 2.41237607],
       [2.41795572, 0.99422639]]), array([[-0.25, -0.25],
       [ 0.25, -0.25],
       [ 0.25,  0.25],
       [-0.25,  0.25],
       [-0.25, -0.25]])]]",9,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-008.png
nuts_bolts_009,nuts_bolts_programs_test,(C (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 8))))) 8 (M 1 (/ (* 2 pi) 8) 0 0)) (M 4 0 0 0)) (T (repeat (T l (M 1 0 -0.5 (/ 0.5 (tan (/ pi 6))))) 6 (M 1 (/ (* 2 pi) 6) 0 0)) (M 2 0 0 0))),"['C', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '8', '8', 'M', '1', '/', '*', '2', 'pi', '8', '0', '0', 'M', '4', '0', '0', '0', 'T', 'repeat', 'T', 'l', 'M', '1', '0', '-0.5', '/', '0.5', 'tan', '/', 'pi', '6', '6', 'M', '1', '/', '*', '2', 'pi', '6', '0', '0', 'M', '2', '0', '0', '0']","[[array([[-2.        ,  4.83114726],
       [ 2.        ,  4.83114726]]), array([[-4.82955308,  2.00384654],
       [-2.        ,  4.83114726]]), array([[-4.83273838, -1.99615219],
       [-4.82955308,  2.00384654]]), array([[-2.0076918 , -4.82795583],
       [-4.83273838, -1.99615219]]), array([[ 1.99230312, -4.83432644],
       [-2.0076918 , -4.82795583]]), array([[ 4.82635552, -2.0115358 ],
       [ 1.99230312, -4.83432644]]), array([[ 4.83591143,  1.98845279],
       [ 4.82635552, -2.0115358 ]]), array([[2.01537852, 4.82475215],
       [4.83591143, 1.98845279]]), array([[-1.        ,  1.73311307],
       [ 1.        ,  1.73311307]]), array([[-2.00091938e+00,  1.59338605e-03],
       [-1.00000000e+00,  1.73311307e+00]]), array([[-1.00275898e+00, -1.73151821e+00],
       [-2.00091938e+00,  1.59338605e-03]]), array([[ 0.99723848, -1.73470352],
       [-1.00275898, -1.73151821]]), array([[ 2.0009143 , -0.00478015],
       [ 0.99723848, -1.73470352]]), array([[ 1.00551542,  1.72991897],
       [ 2.0009143 , -0.00478015]])]]",14,https://lax-drawing-nuts-bolts-all.s3.amazonaws.com/lax-drawing-nuts-bolts-all-009.png
